bus,conn,mode,kw_set,kvar_set,kv_set,amp_set,kvar_min,kvar_max,xd
634,Y,PQ,40.0,0,,,,,
645,Y,PQ,17.0,0,,,,,
646,Y,PQ,23.0,0,,,,,
652,Y,PQ,12.8,0,,,,,
671,Y,PQ,115.5,0,,,,,
675,Y,PQ,84.30000000000001,0,,,,,
692,Y,PQ,17.0,0,,,,,
611,Y,PQ,17.0,0,,,,,
